host,app,status
S-DC-EXC0502,OWA,ok
S-DC-EXC0502,MAPI,ok
S-DC-EXC0502,RPC,ok
S-DC-EXC0502,Autodiscover,ok
S-DC-EXC0502,Powershell,ok
S-DC-EXC0502,EWS,ok
S-DC-EXC0502,ECP,ok
S-DC-EXC0502,OAB,ok
S-DC-EXC0502,Services,ok
S-DC-EXC0502,Replication,ok
S-DC-EXC0502,MRS,ok
S-DC-EXC0502,MAPI-Connectivity,ok
S-DC-EXC0502,Maintenance,ok
S-DC-EXC0502,Active DBs,ok
S-DC-EXC0502,Passive DBs,ok
S-DC-EXC0502,Disks,ok
S-DC-EXC0502,BitLocker,ok
S-DC-EXC0502,Anti-Malware,no
S-DC-EXC0502,PendingReboot,ok
S-DC-EXC0503,OWA,ok
S-DC-EXC0503,MAPI,ok
S-DC-EXC0503,RPC,ok
S-DC-EXC0503,Autodiscover,ok
S-DC-EXC0503,Powershell,ok
S-DC-EXC0503,EWS,ok
S-DC-EXC0503,ECP,ok
S-DC-EXC0503,OAB,ok
S-DC-EXC0503,Services,ok
S-DC-EXC0503,Replication,ok
S-DC-EXC0503,MRS,ok
S-DC-EXC0503,MAPI-Connectivity,ok
S-DC-EXC0503,Maintenance,ok
S-DC-EXC0503,Active DBs,ok
S-DC-EXC0503,Passive DBs,ok
S-DC-EXC0503,Disks,ok
S-DC-EXC0503,BitLocker,no
S-DC-EXC0503,Anti-Malware,ok
S-DC-EXC0503,PendingReboot,ok
S-DC-EXC0504,OWA,ok
S-DC-EXC0504,MAPI,ok
S-DC-EXC0504,RPC,ok
S-DC-EXC0504,Autodiscover,ok
S-DC-EXC0504,Powershell,ok
S-DC-EXC0504,EWS,ok
S-DC-EXC0504,ECP,ok
S-DC-EXC0504,OAB,ok
S-DC-EXC0504,Services,ok
S-DC-EXC0504,Replication,no
S-DC-EXC0504,MRS,ok
S-DC-EXC0504,MAPI-Connectivity,no
S-DC-EXC0504,Maintenance,ok
S-DC-EXC0504,Active DBs,ok
S-DC-EXC0504,Passive DBs,ok
S-DC-EXC0504,Disks,ok
S-DC-EXC0504,BitLocker,ok
S-DC-EXC0504,Anti-Malware,no
S-DC-EXC0504,PendingReboot,ok
S-DC-EXC0505,OWA,ok
S-DC-EXC0505,MAPI,ok
S-DC-EXC0505,RPC,ok
S-DC-EXC0505,Autodiscover,ok
S-DC-EXC0505,Powershell,ok
S-DC-EXC0505,EWS,ok
S-DC-EXC0505,ECP,ok
S-DC-EXC0505,OAB,ok
S-DC-EXC0505,Services,ok
S-DC-EXC0505,Replication,ok
S-DC-EXC0505,MRS,ok
S-DC-EXC0505,MAPI-Connectivity,ok
S-DC-EXC0505,Maintenance,ok
S-DC-EXC0505,Active DBs,ok
S-DC-EXC0505,Passive DBs,ok
S-DC-EXC0505,Disks,ok
S-DC-EXC0505,BitLocker,ok
S-DC-EXC0505,Anti-Malware,ok
S-DC-EXC0505,PendingReboot,ok
S-DC-EXC0506,OWA,ok
S-DC-EXC0506,MAPI,ok
S-DC-EXC0506,RPC,ok
S-DC-EXC0506,Autodiscover,ok
S-DC-EXC0506,Powershell,ok
S-DC-EXC0506,EWS,ok
S-DC-EXC0506,ECP,no
S-DC-EXC0506,OAB,ok
S-DC-EXC0506,Services,ok
S-DC-EXC0506,Replication,ok
S-DC-EXC0506,MRS,ok
S-DC-EXC0506,MAPI-Connectivity,ok
S-DC-EXC0506,Maintenance,ok
S-DC-EXC0506,Active DBs,ok
S-DC-EXC0506,Passive DBs,ok
S-DC-EXC0506,Disks,ok
S-DC-EXC0506,BitLocker,ok
